,b,c,basis,molecule,Beta
0,0,0,MRA,BF,28.239003119076113
1,0,0,MRA,BH2Cl,21.951127486360324
2,0,0,MRA,BH2F,25.25998967864797
3,0,0,MRA,BH3,6.652352780712071
4,0,0,MRA,BHF2,16.937268565391864
5,0,0,MRA,CH2BH,56.9337065885799
6,0,0,MRA,CH2NH,11.992363896945715
7,0,0,MRA,CH3BH2,17.57175945452562
8,0,0,MRA,CH3Cl,7.191056007099109
9,0,0,MRA,CH3F,23.288143011218594
10,0,0,MRA,CH3NH2,7.58568814253501
11,0,0,MRA,CH3OH,21.623293373131407
12,0,0,MRA,CH3SH,43.913212224791394
13,0,0,MRA,CO,16.027522177752928
14,0,0,MRA,CS,17.207479465298746
15,0,0,MRA,CSO,49.989513221133734
16,0,0,MRA,ClCN,7.230808247149006
17,0,0,MRA,ClF,36.587352939188726
18,0,0,MRA,FCN,18.457446025479463
19,0,0,MRA,FNO,9.117744218640643
20,0,0,MRA,H2O,7.875871349320869
21,0,0,MRA,HBO,18.761880229910755
22,0,0,MRA,HBS,26.053324732553676
23,0,0,MRA,HCCCl,38.38034079338263
24,0,0,MRA,HCCF,45.41460109208638
25,0,0,MRA,HCHO,30.796941638595342
26,0,0,MRA,HCHS,42.206988075922105
27,0,0,MRA,HCN,4.5831739597661025
28,0,0,MRA,HCONH2,28.492115880797417
29,0,0,MRA,HCOOH,12.82021290418212
30,0,0,MRA,HCP,25.67060627996078
31,0,0,MRA,HCl,3.4019054187126763
32,0,0,MRA,HF,3.7557478625684677
33,0,0,MRA,HNC,19.437848448163724
34,0,0,MRA,HNO,30.74860497675143
35,0,0,MRA,HNS,64.05988744580124
36,0,0,MRA,HOF,12.750018209507873
37,0,0,MRA,HOOH,4.179348300201269
38,0,0,MRA,LiBH4,55.06574730476287
39,0,0,MRA,LiCN,42.68812032535718
40,0,0,MRA,LiCl,74.31651749113318
41,0,0,MRA,LiH,259.91751263081613
42,0,0,MRA,LiH_s,261.0974999260669
43,0,0,MRA,Mg2,0.044987444010206094
44,0,0,MRA,N2H2,10.861494905703049
